Symbol;Name;Country;IPO Year;Sector;Industry
SRAX;SRAX Inc. Class A Common Stock;United States;;Technology;Advertising
SRC;Spirit Realty Capital Inc. Common Stock;United States;2013;Consumer Services;Building operators
SRC.PRA;Spirit Realty Capital Inc.;;;;
SRCE;1st Source Corporation Common Stock;United States;;Finance;Major Banks
SRCL;Stericycle Inc. Common Stock;United States;1996;Basic Industries;Environmental Services
SRDX;Surmodics Inc. Common Stock;United States;1998;Health Care;Medical/Dental Instruments
SRE;Sempra Energy Common Stock;United States;;Public Utilities;Natural Gas Distribution
SRE.PRB;Sempra Energy;;;;
SREA;Sempra Energy 5.750% Junior Subordinated Notes due 2079;United States;2019;Public Utilities;Natural Gas Distribution
SREV;ServiceSource International Inc. Common Stock;United States;2011;Miscellaneous;Business Services
SRG;Seritage Growth Properties Class A Common Stock;United States;2015;Finance;Real Estate
SRG.PRA;Seritage Growth Properties;;;;
SRGA;Surgalign Holdings Inc. Common Stock;United States;;Health Care;Industrial Specialties
SRI;Stoneridge Inc. Common Stock;United States;1997;Capital Goods;Auto Parts:O.E.M.
SRL;Scully Royalty Ltd.;Canada;;;
SRLP;Sprague Resources LP Common Units representing Limited Partner Interests;;2013;Energy;Oil Refining/Marketing
SRNE;Sorrento Therapeutics Inc.  Common Stock;United States;;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
SRPT;Sarepta Therapeutics Inc. Common Stock (DE);United States;;Health Care;Major Pharmaceuticals
SRRA;Sierra Oncology Inc. Common Stock;Canada;2015;Health Care;Major Pharmaceuticals
SRRK;Scholar Rock Holding Corporation Common Stock;United States;2018;Health Care;Biotechnology: Biological Products (No Diagnostic Substances)
SRSA;Sarissa Capital Acquisition Corp. Class A Ordinary Shares;United States;2020;Finance;Business Services
SRSAU;Sarissa Capital Acquisition Corp. Unit;United States;2020;Finance;Business Services
SRSAW;Sarissa Capital Acquisition Corp. Warrants;United States;2020;Finance;Business Services
SRT;StarTek Inc. Common Stock;United States;1997;Technology;Professional Services
